"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAP_THCAP-TH-2MM";"CAPPRD254W65D300H300B";"Capacitor Electro. TH";"";
"C2";"47uF";"CAP_THCAP-ELECTRO-5.08";"CAPPRD508W65D1000H1100B";"Capacitor Electro. TH";"";
"C3";"47uF";"CAP_THCAP-ELECTRO-5.08";"CAPPRD508W65D1000H1100B";"Capacitor Electro. TH";"";
"C4";"47uF";"CAP_THCAP-ELECTRO-5.08";"CAPPRD508W65D1000H1100B";"Capacitor Electro. TH";"";
"C5";"0.1uF";"CAP_THCAP-TH-2MM";"CAPPRD254W65D300H300B";"Capacitor Electro. TH";"";
"D1";"LED_THLED-2.54";"LED_THLED-2.54";"LEDRD254W60D565H860B";"TH LED - large";"";
"D2";"LED_THLED-2.54";"LED_THLED-2.54";"LEDRD254W60D565H860B";"TH LED - large";"";
"D3";"LED_THLED-2.54";"LED_THLED-2.54";"LEDRD254W60D565H860B";"TH LED - large";"";
"D4";"LED_THLED-2.54";"LED_THLED-2.54";"LEDRD254W60D565H860B";"TH LED - large";"";
"IC1";"DS3231_MODULE";"DS3231_MODULE";"DS3231_MODULE";"DS3231 RTC Breakout Module";"";
"IC2";"OKX-T/5-D123";"OKX-T/5-D123DMODEL";"OKX-T/5-D12";"OKX-T/5-D12 by Murata Inc. - Monolithic DC/DC Converter";"";
"IC3";"MICRO_SD";"MICRO_SD_SNIFFER";"MICRO_SD_SDIO";"SparkFun microSD sniffer - breaks out SDIO interface";"";
"IC4";"MICRO_SD_1BIT";"MICRO_SD";"MICRO_SD_SDIO1B";"Sparkfun microSD Breakout - SPI/SDIO 1bit accessible";"";
"J1";"JST-XH";"HDR1X4JST-XH";"HDR1X4";"HEADER 1x4";"";
"J2";"HDR2X7";"HDR2X7HDR2X7";"HDR2X7";"";"";
"R1";"30k";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R2";"10k";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R3";"1.35k";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R4";"330";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R5";"330";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R6";"330";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R7";"330";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R8";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R9";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R10";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R11";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R12";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"R13";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"Resistor TH";"";
"U1";"PRO_MINI";"PRO_MINI";"PRO_MINI";"Arduino Pro Mini from SparkFun 3.3V";"";
"U2";"PI_ZERO";"PI_ZERO";"PI_ZERO_W";"Pi Zero W";"";
"U3";"ADA_GPS";"ADA_ULTIMATE_GPS9P_BREAKOUT";"ADA_ULTIMATE_GPS";"Ultimate GPS from Adafruit - Breakout";"";
